,الفجر,الشروق,الظهر,العصر,المغرب,العشاء
2022-07-30,04:13:00,05:52:00,12:51:00,16:37:00,19:52:00,21:22:00
2022-07-31,04:14:00,05:53:00,12:51:00,16:37:00,19:52:00,21:20:00
2022-08-01,04:15:00,05:53:00,12:51:00,16:37:00,19:51:00,21:19:00
2022-08-02,04:17:00,05:54:00,12:51:00,16:37:00,19:50:00,21:18:00
2022-08-03,04:18:00,05:55:00,12:51:00,16:37:00,19:49:00,21:17:00
2022-08-04,04:19:00,05:56:00,12:51:00,16:36:00,19:48:00,21:16:00
2022-08-05,04:20:00,05:56:00,12:51:00,16:36:00,19:47:00,21:14:00
2022-08-06,04:21:00,05:57:00,12:50:00,16:36:00,19:46:00,21:13:00
2022-08-07,04:22:00,05:58:00,12:50:00,16:36:00,19:45:00,21:12:00
2022-08-08,04:23:00,05:59:00,12:50:00,16:35:00,19:44:00,21:10:00
2022-08-09,04:24:00,05:59:00,12:50:00,16:35:00,19:43:00,21:09:00
2022-08-10,04:25:00,06:00:00,12:50:00,16:35:00,19:42:00,21:08:00
2022-08-11,04:26:00,06:01:00,12:50:00,16:34:00,19:41:00,21:06:00
2022-08-12,04:27:00,06:02:00,12:50:00,16:34:00,19:40:00,21:05:00
2022-08-13,04:28:00,06:02:00,12:49:00,16:33:00,19:39:00,21:04:00
2022-08-14,04:29:00,06:03:00,12:49:00,16:33:00,19:38:00,21:02:00
2022-08-15,04:31:00,06:04:00,12:49:00,16:33:00,19:37:00,21:01:00
2022-08-16,04:32:00,06:05:00,12:49:00,16:32:00,19:35:00,20:59:00
2022-08-17,04:33:00,06:05:00,12:49:00,16:32:00,19:34:00,20:58:00
2022-08-18,04:34:00,06:06:00,12:48:00,16:31:00,19:33:00,20:56:00
2022-08-19,04:35:00,06:07:00,12:48:00,16:31:00,19:32:00,20:55:00
2022-08-20,04:36:00,06:08:00,12:48:00,16:30:00,19:31:00,20:54:00
2022-08-21,04:37:00,06:08:00,12:48:00,16:30:00,19:29:00,20:52:00
2022-08-22,04:38:00,06:09:00,12:47:00,16:29:00,19:28:00,20:51:00
2022-08-23,04:39:00,06:10:00,12:47:00,16:29:00,19:27:00,20:49:00
2022-08-24,04:40:00,06:10:00,12:47:00,16:28:00,19:26:00,20:48:00
2022-08-25,04:41:00,06:11:00,12:47:00,16:28:00,19:24:00,20:46:00
2022-08-26,04:42:00,06:12:00,12:46:00,16:27:00,19:23:00,20:45:00
2022-08-27,04:43:00,06:13:00,12:46:00,16:26:00,19:22:00,20:43:00
2022-08-28,04:44:00,06:13:00,12:46:00,16:26:00,19:20:00,20:41:00
2022-08-29,04:46:00,06:15:00,12:45:00,16:24:00,19:18:00,20:39:00
2022-08-30,04:47:00,06:16:00,12:45:00,16:23:00,19:17:00,20:37:00
2022-08-31,04:48:00,06:17:00,12:45:00,16:23:00,19:16:00,20:36:00
2022-09-01,04:49:00,06:17:00,12:45:00,16:22:00,19:14:00,20:34:00
2022-09-02,04:50:00,06:18:00,12:44:00,16:21:00,19:13:00,20:33:00
2022-09-03,04:50:00,06:19:00,12:44:00,16:21:00,19:11:00,20:31:00
2022-09-04,04:51:00,06:19:00,12:44:00,16:20:00,19:10:00,20:30:00
2022-09-05,04:52:00,06:20:00,12:43:00,16:19:00,19:09:00,20:28:00
2022-09-06,04:53:00,06:21:00,12:43:00,16:18:00,19:07:00,20:27:00
2022-09-07,04:54:00,06:22:00,12:43:00,16:17:00,19:06:00,20:25:00
2022-09-08,04:55:00,06:22:00,12:42:00,16:17:00,19:05:00,20:23:00
2022-09-09,04:56:00,06:23:00,12:42:00,16:16:00,19:03:00,20:22:00
2022-09-10,04:57:00,06:24:00,12:41:00,16:15:00,19:02:00,20:20:00
2022-09-11,04:58:00,06:24:00,12:41:00,16:14:00,19:00:00,20:19:00
2022-09-12,04:59:00,06:25:00,12:41:00,16:13:00,18:59:00,20:17:00
2022-09-13,04:59:00,06:26:00,12:40:00,16:13:00,18:57:00,20:16:00
2022-09-14,05:00:00,06:27:00,12:40:00,16:12:00,18:56:00,20:14:00
2022-09-15,05:01:00,06:27:00,12:40:00,16:11:00,18:55:00,20:12:00
2022-09-16,05:02:00,06:28:00,12:39:00,16:10:00,18:53:00,20:11:00
2022-09-17,05:03:00,06:29:00,12:39:00,16:09:00,18:52:00,20:09:00
2022-09-18,05:04:00,06:29:00,12:39:00,16:08:00,18:50:00,20:08:00
2022-09-19,05:04:00,06:30:00,12:38:00,16:07:00,18:49:00,20:06:00
2022-09-20,05:05:00,06:31:00,12:38:00,16:06:00,18:47:00,20:05:00
2022-09-21,05:06:00,06:32:00,12:38:00,16:05:00,18:46:00,20:03:00
2022-09-22,05:07:00,06:32:00,12:37:00,16:05:00,18:45:00,20:02:00
2022-09-23,05:08:00,06:33:00,12:37:00,16:04:00,18:43:00,20:00:00
2022-09-24,05:09:00,06:34:00,12:37:00,16:03:00,18:42:00,19:59:00
2022-09-25,05:09:00,06:34:00,12:36:00,16:02:00,18:40:00,19:57:00
2022-09-26,05:10:00,06:35:00,12:36:00,16:01:00,18:39:00,19:56:00
2022-09-27,05:12:00,06:36:00,12:35:00,16:00:00,18:37:00,19:53:00
2022-09-28,05:13:00,06:37:00,12:35:00,15:59:00,18:36:00,19:52:00
2022-09-29,05:14:00,06:37:00,12:35:00,15:58:00,18:35:00,19:50:00
2022-09-30,05:14:00,06:38:00,12:34:00,15:57:00,18:33:00,19:49:00
2022-10-01,05:15:00,06:39:00,12:34:00,15:56:00,18:32:00,19:48:00
2022-10-02,05:16:00,06:40:00,12:34:00,15:55:00,18:30:00,19:46:00
2022-10-03,05:17:00,06:40:00,12:34:00,15:54:00,18:29:00,19:45:00
2022-10-04,05:17:00,06:41:00,12:33:00,15:53:00,18:28:00,19:43:00
2022-10-05,05:18:00,06:42:00,12:33:00,15:52:00,18:26:00,19:42:00
2022-10-06,05:19:00,06:43:00,12:33:00,15:51:00,18:25:00,19:41:00
2022-10-07,05:20:00,06:43:00,12:32:00,15:50:00,18:24:00,19:39:00
2022-10-08,05:21:00,06:44:00,12:32:00,15:49:00,18:22:00,19:38:00
2022-10-09,05:21:00,06:45:00,12:32:00,15:48:00,18:21:00,19:37:00
2022-10-10,05:22:00,06:46:00,12:31:00,15:47:00,18:20:00,19:35:00
2022-10-11,05:23:00,06:47:00,12:31:00,15:46:00,18:18:00,19:34:00
2022-10-12,05:24:00,06:47:00,12:31:00,15:45:00,18:17:00,19:33:00
2022-10-13,05:24:00,06:48:00,12:31:00,15:44:00,18:16:00,19:31:00
2022-10-14,05:25:00,06:49:00,12:30:00,15:44:00,18:14:00,19:30:00
2022-10-15,05:26:00,06:50:00,12:30:00,15:43:00,18:13:00,19:29:00
2022-10-16,05:27:00,06:51:00,12:30:00,15:42:00,18:12:00,19:28:00
2022-10-17,05:28:00,06:52:00,12:30:00,15:41:00,18:11:00,19:27:00
2022-10-18,05:28:00,06:52:00,12:30:00,15:40:00,18:09:00,19:25:00
2022-10-19,05:29:00,06:53:00,12:29:00,15:39:00,18:08:00,19:24:00
2022-10-20,05:30:00,06:54:00,12:29:00,15:38:00,18:07:00,19:23:00
2022-10-21,05:31:00,06:55:00,12:29:00,15:37:00,18:06:00,19:22:00
2022-10-22,05:31:00,06:56:00,12:29:00,15:36:00,18:05:00,19:21:00
2022-10-23,05:32:00,06:57:00,12:29:00,15:35:00,18:03:00,19:20:00
2022-10-24,05:33:00,06:58:00,12:29:00,15:34:00,18:02:00,19:19:00
2022-10-25,05:34:00,06:58:00,12:29:00,15:34:00,18:01:00,19:18:00
2022-10-26,05:35:00,06:59:00,12:28:00,15:33:00,18:00:00,19:17:00
2022-10-27,05:35:00,07:01:00,12:28:00,15:31:00,17:58:00,19:16:00
2022-10-28,05:36:00,07:02:00,12:28:00,15:30:00,17:57:00,19:15:00
2022-10-29,05:37:00,07:03:00,12:28:00,15:29:00,17:56:00,19:14:00
2022-10-30,05:38:00,07:04:00,12:28:00,15:28:00,17:55:00,19:13:00
2022-10-31,05:39:00,07:05:00,12:28:00,15:28:00,17:54:00,19:12:00
2022-11-01,05:39:00,07:06:00,12:28:00,15:27:00,17:53:00,19:11:00
2022-11-02,05:40:00,07:07:00,12:28:00,15:26:00,17:52:00,19:10:00
2022-11-03,05:41:00,07:08:00,12:28:00,15:25:00,17:51:00,19:10:00
2022-11-04,05:42:00,07:09:00,12:28:00,15:25:00,17:50:00,19:09:00
2022-11-05,05:43:00,07:10:00,12:28:00,15:24:00,17:49:00,19:08:00
2022-11-06,05:44:00,07:10:00,12:28:00,15:23:00,17:48:00,19:07:00
2022-11-07,05:44:00,07:11:00,12:28:00,15:23:00,17:47:00,19:07:00
2022-11-08,05:45:00,07:12:00,12:28:00,15:22:00,17:47:00,19:06:00
2022-11-09,05:46:00,07:13:00,12:28:00,15:21:00,17:46:00,19:05:00
2022-11-10,05:47:00,07:14:00,12:28:00,15:21:00,17:45:00,19:04:00
2022-11-11,05:48:00,07:15:00,12:28:00,15:20:00,17:44:00,19:04:00
2022-11-12,05:49:00,07:16:00,12:29:00,15:20:00,17:44:00,19:03:00
2022-11-13,05:49:00,07:17:00,12:29:00,15:19:00,17:43:00,19:03:00
2022-11-14,05:50:00,07:18:00,12:29:00,15:19:00,17:42:00,19:02:00
2022-11-15,05:51:00,07:19:00,12:29:00,15:18:00,17:42:00,19:02:00
2022-11-16,05:52:00,07:20:00,12:29:00,15:18:00,17:41:00,19:01:00
2022-11-17,05:53:00,07:21:00,12:29:00,15:17:00,17:40:00,19:01:00
2022-11-18,05:54:00,07:22:00,12:30:00,15:17:00,17:40:00,19:00:00
2022-11-19,05:54:00,07:23:00,12:30:00,15:17:00,17:39:00,19:00:00
2022-11-20,05:55:00,07:24:00,12:30:00,15:16:00,17:39:00,19:00:00
2022-11-21,05:56:00,07:25:00,12:30:00,15:16:00,17:38:00,18:59:00
2022-11-22,05:57:00,07:26:00,12:31:00,15:16:00,17:38:00,18:59:00
2022-11-23,05:58:00,07:27:00,12:31:00,15:15:00,17:38:00,18:59:00
2022-11-24,05:58:00,07:28:00,12:31:00,15:15:00,17:37:00,18:59:00
2022-11-25,06:00:00,07:29:00,12:31:00,15:15:00,17:37:00,18:57:00
2022-11-26,06:01:00,07:30:00,12:32:00,15:15:00,17:37:00,18:57:00
2022-11-27,06:02:00,07:31:00,12:32:00,15:14:00,17:36:00,18:57:00
2022-11-28,06:03:00,07:31:00,12:32:00,15:14:00,17:36:00,18:57:00
2022-11-29,06:03:00,07:32:00,12:33:00,15:14:00,17:36:00,18:57:00
2022-11-30,06:04:00,07:33:00,12:33:00,15:14:00,17:36:00,18:57:00
2022-12-01,06:05:00,07:34:00,12:33:00,15:14:00,17:36:00,18:57:00
2022-12-02,06:06:00,07:35:00,12:34:00,15:14:00,17:35:00,18:57:00
2022-12-03,06:07:00,07:36:00,12:34:00,15:14:00,17:35:00,18:57:00
2022-12-04,06:07:00,07:37:00,12:35:00,15:14:00,17:35:00,18:57:00
2022-12-05,06:08:00,07:38:00,12:35:00,15:14:00,17:35:00,18:57:00
2022-12-06,06:09:00,07:38:00,12:36:00,15:14:00,17:35:00,18:57:00
2022-12-07,06:10:00,07:39:00,12:36:00,15:14:00,17:35:00,18:57:00
2022-12-08,06:10:00,07:40:00,12:36:00,15:14:00,17:35:00,18:57:00
2022-12-09,06:11:00,07:41:00,12:37:00,15:14:00,17:36:00,18:57:00
2022-12-10,06:12:00,07:42:00,12:37:00,15:15:00,17:36:00,18:58:00
2022-12-11,06:12:00,07:42:00,12:38:00,15:15:00,17:36:00,18:58:00
2022-12-12,06:13:00,07:43:00,12:38:00,15:15:00,17:36:00,18:58:00
2022-12-13,06:14:00,07:44:00,12:39:00,15:15:00,17:36:00,18:58:00
2022-12-14,06:14:00,07:45:00,12:39:00,15:16:00,17:37:00,18:59:00
2022-12-15,06:15:00,07:45:00,12:40:00,15:16:00,17:37:00,18:59:00
2022-12-16,06:16:00,07:46:00,12:40:00,15:16:00,17:37:00,18:59:00
2022-12-17,06:16:00,07:46:00,12:41:00,15:17:00,17:38:00,19:00:00
2022-12-18,06:17:00,07:47:00,12:41:00,15:17:00,17:38:00,19:00:00
2022-12-19,06:17:00,07:48:00,12:42:00,15:18:00,17:38:00,19:01:00
2022-12-20,06:18:00,07:48:00,12:42:00,15:18:00,17:39:00,19:01:00
2022-12-21,06:18:00,07:49:00,12:43:00,15:19:00,17:39:00,19:02:00
2022-12-22,06:19:00,07:49:00,12:43:00,15:19:00,17:40:00,19:02:00
2022-12-23,06:19:00,07:50:00,12:44:00,15:20:00,17:40:00,19:03:00
2022-12-24,06:20:00,07:50:00,12:44:00,15:20:00,17:41:00,19:03:00
2022-12-25,06:20:00,07:51:00,12:45:00,15:21:00,17:42:00,19:04:00
2022-12-26,06:21:00,07:51:00,12:45:00,15:21:00,17:42:00,19:04:00
2022-12-27,06:21:00,07:51:00,12:46:00,15:22:00,17:43:00,19:05:00
2022-12-28,06:21:00,07:52:00,12:46:00,15:22:00,17:43:00,19:06:00
2022-12-29,06:22:00,07:52:00,12:46:00,15:23:00,17:44:00,19:06:00
2022-12-30,06:22:00,07:52:00,12:47:00,15:24:00,17:45:00,19:07:00
2022-12-31,06:22:00,07:52:00,12:47:00,15:24:00,17:46:00,19:08:00
2023-01-01,06:23:00,07:53:00,12:48:00,15:25:00,17:46:00,19:08:00
2023-01-02,06:23:00,07:53:00,12:48:00,15:26:00,17:47:00,19:09:00
2023-01-03,06:23:00,07:53:00,12:49:00,15:27:00,17:48:00,19:10:00
2023-01-04,06:23:00,07:53:00,12:49:00,15:27:00,17:49:00,19:10:00
2023-01-05,06:24:00,07:53:00,12:50:00,15:28:00,17:49:00,19:11:00
2023-01-06,06:24:00,07:53:00,12:50:00,15:29:00,17:50:00,19:12:00
2023-01-07,06:24:00,07:53:00,12:51:00,15:30:00,17:51:00,19:13:00
2023-01-08,06:24:00,07:53:00,12:51:00,15:31:00,17:52:00,19:13:00
2023-01-09,06:24:00,07:53:00,12:51:00,15:31:00,17:53:00,19:14:00
2023-01-10,06:24:00,07:53:00,12:52:00,15:32:00,17:54:00,19:15:00
2023-01-11,06:24:00,07:53:00,12:52:00,15:33:00,17:55:00,19:16:00
2023-01-12,06:24:00,07:53:00,12:53:00,15:34:00,17:56:00,19:17:00
2023-01-13,06:24:00,07:53:00,12:53:00,15:35:00,17:57:00,19:17:00
2023-01-14,06:24:00,07:53:00,12:53:00,15:35:00,17:58:00,19:18:00
2023-01-15,06:24:00,07:52:00,12:54:00,15:36:00,17:58:00,19:19:00
2023-01-16,06:24:00,07:52:00,12:54:00,15:37:00,17:59:00,19:20:00
2023-01-17,06:23:00,07:52:00,12:54:00,15:38:00,18:00:00,19:21:00
2023-01-18,06:23:00,07:52:00,12:55:00,15:39:00,18:01:00,19:22:00
2023-01-19,06:23:00,07:51:00,12:55:00,15:40:00,18:02:00,19:22:00
2023-01-20,06:23:00,07:51:00,12:55:00,15:41:00,18:03:00,19:23:00
2023-01-21,06:23:00,07:50:00,12:56:00,15:42:00,18:04:00,19:24:00
