الموافق,الفجر,الشروق,الظهر,العصر,المغرب,العشاء
2021-02-13,06:20:00,07:40:00,13:14:00,16:25:00,18:52:00,20:05:00
2021-02-14,06:19:00,07:39:00,13:14:00,16:26:00,18:53:00,20:05:00
2021-02-15,06:18:00,07:38:00,13:14:00,16:26:00,18:54:00,20:06:00
2021-02-16,06:17:00,07:37:00,13:14:00,16:27:00,18:55:00,20:07:00
2021-02-17,06:17:00,07:36:00,13:14:00,16:27:00,18:55:00,20:07:00
2021-02-18,06:16:00,07:35:00,13:14:00,16:27:00,18:56:00,20:08:00
2021-02-19,06:15:00,07:35:00,13:13:00,16:28:00,18:57:00,20:09:00
2021-02-20,06:14:00,07:34:00,13:13:00,16:28:00,18:57:00,20:09:00
2021-02-21,06:13:00,07:33:00,13:13:00,16:29:00,18:58:00,20:10:00
2021-02-22,06:13:00,07:32:00,13:13:00,16:29:00,18:59:00,20:10:00
2021-02-23,06:12:00,07:31:00,13:13:00,16:29:00,18:59:00,20:11:00
2021-02-24,06:11:00,07:30:00,13:13:00,16:30:00,19:00:00,20:12:00
2021-02-25,06:10:00,07:29:00,13:13:00,16:30:00,19:01:00,20:12:00
2021-02-26,06:09:00,07:28:00,13:12:00,16:30:00,19:01:00,20:13:00
2021-02-27,06:08:00,07:27:00,13:12:00,16:31:00,19:02:00,20:13:00
2021-02-28,06:08:00,07:27:00,13:12:00,16:31:00,19:02:00,20:13:00
2021-03-01,06:07:00,07:26:00,13:12:00,16:31:00,19:02:00,20:14:00
2021-03-02,06:06:00,07:25:00,13:12:00,16:31:00,19:03:00,20:14:00
2021-03-03,06:05:00,07:24:00,13:11:00,16:32:00,19:03:00,20:15:00
2021-03-04,06:04:00,07:23:00,13:11:00,16:32:00,19:04:00,20:15:00
2021-03-05,06:03:00,07:22:00,13:11:00,16:32:00,19:05:00,20:16:00
2021-03-06,06:02:00,07:21:00,13:11:00,16:32:00,19:05:00,20:16:00
2021-03-07,06:01:00,07:20:00,13:11:00,16:33:00,19:06:00,20:17:00
2021-03-08,06:00:00,07:19:00,13:10:00,16:33:00,19:06:00,20:18:00
2021-03-09,05:59:00,07:18:00,13:10:00,16:33:00,19:07:00,20:18:00
2021-03-10,05:58:00,07:16:00,13:10:00,16:33:00,19:08:00,20:19:00
2021-03-11,05:57:00,07:15:00,13:10:00,16:33:00,19:08:00,20:19:00
2021-03-12,05:56:00,07:14:00,13:09:00,16:33:00,19:09:00,20:20:00
2021-03-13,05:54:00,07:13:00,13:09:00,16:34:00,19:09:00,20:20:00
2021-03-14,05:53:00,07:12:00,13:09:00,16:34:00,19:10:00,20:21:00
2021-03-15,05:50:00,07:09:00,13:08:00,16:36:00,19:13:00,20:25:00
2021-03-16,05:49:00,07:08:00,13:08:00,16:36:00,19:14:00,20:25:00
2021-03-17,05:48:00,07:07:00,13:08:00,16:36:00,19:14:00,20:26:00
2021-03-18,05:47:00,07:06:00,13:08:00,16:36:00,19:15:00,20:26:00
2021-03-19,05:45:00,07:04:00,13:07:00,16:36:00,19:15:00,20:27:00
2021-03-20,05:44:00,07:03:00,13:07:00,16:36:00,19:16:00,20:28:00
2021-03-21,05:43:00,07:02:00,13:07:00,16:36:00,19:17:00,20:28:00
2021-03-22,05:42:00,07:01:00,13:06:00,16:36:00,19:17:00,20:29:00
2021-03-23,05:41:00,07:00:00,13:06:00,16:36:00,19:18:00,20:29:00
2021-03-24,05:40:00,06:59:00,13:06:00,16:36:00,19:18:00,20:30:00
2021-03-25,05:38:00,06:58:00,13:05:00,16:36:00,19:19:00,20:31:00
2021-03-26,05:37:00,06:57:00,13:05:00,16:36:00,19:19:00,20:31:00
2021-03-27,05:36:00,06:55:00,13:05:00,16:36:00,19:20:00,20:32:00
2021-03-28,05:35:00,06:54:00,13:05:00,16:36:00,19:20:00,20:32:00
2021-03-29,05:33:00,06:53:00,13:04:00,16:36:00,19:21:00,20:33:00
2021-03-30,05:33:00,06:53:00,13:04:00,16:35:00,19:20:00,20:33:00
2021-03-31,05:32:00,06:52:00,13:04:00,16:35:00,19:21:00,20:33:00
2021-04-01,05:31:00,06:51:00,13:03:00,16:35:00,19:21:00,20:34:00
2021-04-02,05:29:00,06:50:00,13:03:00,16:35:00,19:22:00,20:35:00
2021-04-03,05:28:00,06:49:00,13:03:00,16:35:00,19:22:00,20:35:00
2021-04-04,05:27:00,06:47:00,13:03:00,16:35:00,19:23:00,20:36:00
2021-04-05,05:26:00,06:46:00,13:02:00,16:34:00,19:24:00,20:37:00
2021-04-06,05:25:00,06:45:00,13:02:00,16:34:00,19:24:00,20:37:00
2021-04-07,05:23:00,06:44:00,13:02:00,16:34:00,19:25:00,20:38:00
2021-04-08,05:22:00,06:43:00,13:01:00,16:34:00,19:25:00,20:39:00
2021-04-09,05:21:00,06:42:00,13:01:00,16:34:00,19:26:00,20:39:00
2021-04-10,05:20:00,06:41:00,13:01:00,16:34:00,19:26:00,20:40:00
2021-04-11,05:18:00,06:40:00,13:01:00,16:34:00,19:27:00,20:41:00
2021-04-12,05:17:00,06:39:00,13:00:00,16:34:00,19:27:00,20:41:00
2021-04-13,05:16:00,06:38:00,13:00:00,16:33:00,19:28:00,20:42:00
2021-04-14,05:12:00,06:34:00,13:00:00,16:35:00,19:30:00,20:45:00
2021-04-15,05:11:00,06:33:00,13:00:00,16:35:00,19:31:00,20:45:00
2021-04-16,05:09:00,06:32:00,12:59:00,16:35:00,19:31:00,20:46:00
2021-04-17,05:08:00,06:31:00,12:59:00,16:35:00,19:32:00,20:47:00
2021-04-18,05:07:00,06:30:00,12:59:00,16:35:00,19:33:00,20:48:00
2021-04-19,05:06:00,06:29:00,12:59:00,16:35:00,19:33:00,20:48:00
2021-04-20,05:05:00,06:28:00,12:58:00,16:34:00,19:34:00,20:49:00
2021-04-21,05:03:00,06:27:00,12:58:00,16:34:00,19:34:00,20:50:00
2021-04-22,05:02:00,06:26:00,12:58:00,16:34:00,19:35:00,20:51:00
2021-04-23,05:01:00,06:25:00,12:58:00,16:34:00,19:35:00,20:51:00
2021-04-24,05:00:00,06:24:00,12:58:00,16:34:00,19:36:00,20:52:00
2021-04-25,04:59:00,06:23:00,12:58:00,16:34:00,19:36:00,20:53:00
2021-04-26,04:58:00,06:22:00,12:57:00,16:34:00,19:37:00,20:54:00
2021-04-27,04:57:00,06:21:00,12:57:00,16:33:00,19:38:00,20:54:00
2021-04-28,04:56:00,06:20:00,12:57:00,16:33:00,19:38:00,20:55:00
2021-04-29,04:55:00,06:20:00,12:57:00,16:33:00,19:38:00,20:56:00
2021-04-30,04:54:00,06:20:00,12:57:00,16:33:00,19:38:00,20:57:00
2021-05-01,04:53:00,06:19:00,12:57:00,16:33:00,19:39:00,20:57:00
2021-05-02,04:52:00,06:18:00,12:57:00,16:33:00,19:40:00,20:58:00
2021-05-03,04:51:00,06:17:00,12:56:00,16:33:00,19:40:00,20:59:00
2021-05-04,04:50:00,06:16:00,12:56:00,16:32:00,19:41:00,21:00:00
2021-05-05,04:49:00,06:16:00,12:56:00,16:32:00,19:41:00,21:01:00
2021-05-06,04:48:00,06:15:00,12:56:00,16:32:00,19:42:00,21:01:00
2021-05-07,04:47:00,06:14:00,12:56:00,16:32:00,19:42:00,21:02:00
2021-05-08,04:46:00,06:14:00,12:56:00,16:32:00,19:43:00,21:03:00
2021-05-09,04:45:00,06:13:00,12:56:00,16:32:00,19:44:00,21:04:00
2021-05-10,04:45:00,06:12:00,12:56:00,16:32:00,19:44:00,21:05:00
2021-05-11,04:44:00,06:12:00,12:56:00,16:32:00,19:45:00,21:05:00
2021-05-12,04:43:00,06:11:00,12:56:00,16:32:00,19:45:00,21:06:00
2021-05-13,04:39:00,06:08:00,12:56:00,16:32:00,19:48:00,21:09:00
2021-05-14,04:38:00,06:08:00,12:56:00,16:32:00,19:49:00,21:10:00
2021-05-15,04:37:00,06:07:00,12:56:00,16:32:00,19:49:00,21:11:00
2021-05-16,04:37:00,06:07:00,12:56:00,16:32:00,19:50:00,21:11:00
2021-05-17,04:36:00,06:06:00,12:56:00,16:32:00,19:50:00,21:12:00
2021-05-18,04:35:00,06:06:00,12:56:00,16:32:00,19:51:00,21:13:00
2021-05-19,04:34:00,06:05:00,12:56:00,16:32:00,19:51:00,21:14:00
2021-05-20,04:34:00,06:05:00,12:56:00,16:32:00,19:52:00,21:15:00
2021-05-21,04:33:00,06:04:00,12:56:00,16:32:00,19:53:00,21:15:00
2021-05-22,04:32:00,06:04:00,12:56:00,16:32:00,19:53:00,21:16:00
2021-05-23,04:32:00,06:03:00,12:56:00,16:32:00,19:54:00,21:17:00
2021-05-24,04:31:00,06:03:00,12:56:00,16:32:00,19:54:00,21:18:00
2021-05-25,04:31:00,06:03:00,12:57:00,16:32:00,19:55:00,21:18:00
2021-05-26,04:30:00,06:02:00,12:57:00,16:32:00,19:55:00,21:19:00
2021-05-27,04:30:00,06:02:00,12:57:00,16:32:00,19:56:00,21:20:00
2021-05-28,04:30:00,06:03:00,12:57:00,16:32:00,19:55:00,21:20:00
2021-05-29,04:30:00,06:02:00,12:57:00,16:32:00,19:56:00,21:20:00
2021-05-30,04:29:00,06:02:00,12:57:00,16:32:00,19:56:00,21:21:00
2021-05-31,04:29:00,06:02:00,12:57:00,16:32:00,19:57:00,21:22:00
2021-06-01,04:28:00,06:02:00,12:58:00,16:32:00,19:57:00,21:22:00
2021-06-02,04:28:00,06:02:00,12:58:00,16:32:00,19:58:00,21:23:00
2021-06-03,04:28:00,06:01:00,12:58:00,16:32:00,19:58:00,21:23:00
2021-06-04,04:27:00,06:01:00,12:58:00,16:32:00,19:59:00,21:24:00
2021-06-05,04:27:00,06:01:00,12:58:00,16:33:00,19:59:00,21:25:00
2021-06-06,04:27:00,06:01:00,12:58:00,16:33:00,20:00:00,21:25:00
2021-06-07,04:27:00,06:01:00,12:59:00,16:33:00,20:00:00,21:26:00
2021-06-08,04:27:00,06:01:00,12:59:00,16:33:00,20:01:00,21:26:00
2021-06-09,04:26:00,06:01:00,12:59:00,16:33:00,20:01:00,21:27:00
2021-06-10,04:26:00,06:01:00,12:59:00,16:33:00,20:01:00,21:27:00
2021-06-11,04:26:00,06:01:00,12:59:00,16:33:00,20:02:00,21:28:00
2021-06-12,04:25:00,06:00:00,13:00:00,16:34:00,20:03:00,21:29:00
2021-06-13,04:25:00,06:00:00,13:00:00,16:34:00,20:03:00,21:30:00
2021-06-14,04:25:00,06:00:00,13:00:00,16:34:00,20:04:00,21:30:00
2021-06-15,04:25:00,06:00:00,13:00:00,16:34:00,20:04:00,21:30:00
2021-06-16,04:25:00,06:00:00,13:00:00,16:34:00,20:04:00,21:31:00
2021-06-17,04:25:00,06:01:00,13:01:00,16:34:00,20:05:00,21:31:00
2021-06-18,04:26:00,06:01:00,13:01:00,16:35:00,20:05:00,21:31:00
2021-06-19,04:26:00,06:01:00,13:01:00,16:35:00,20:05:00,21:32:00
2021-06-20,04:26:00,06:01:00,13:01:00,16:35:00,20:05:00,21:32:00
2021-06-21,04:26:00,06:01:00,13:01:00,16:35:00,20:06:00,21:32:00
2021-06-22,04:26:00,06:01:00,13:02:00,16:35:00,20:06:00,21:32:00
2021-06-23,04:27:00,06:02:00,13:02:00,16:36:00,20:06:00,21:32:00
2021-06-24,04:27:00,06:02:00,13:02:00,16:36:00,20:06:00,21:32:00
2021-06-25,04:27:00,06:02:00,13:02:00,16:36:00,20:06:00,21:33:00
2021-06-26,04:27:00,06:03:00,13:03:00,16:36:00,20:06:00,21:33:00
2021-06-27,04:28:00,06:03:00,13:03:00,16:37:00,20:07:00,21:33:00
2021-06-28,04:28:00,06:03:00,13:03:00,16:37:00,20:07:00,21:33:00
2021-06-29,04:29:00,06:04:00,13:03:00,16:37:00,20:07:00,21:33:00
2021-06-30,04:29:00,06:04:00,13:03:00,16:37:00,20:07:00,21:33:00
2021-07-01,04:29:00,06:04:00,13:04:00,16:38:00,20:07:00,21:33:00
2021-07-02,04:30:00,06:05:00,13:04:00,16:38:00,20:07:00,21:32:00
2021-07-03,04:30:00,06:05:00,13:04:00,16:38:00,20:07:00,21:32:00
2021-07-04,04:31:00,06:05:00,13:04:00,16:38:00,20:07:00,21:32:00
2021-07-05,04:32:00,06:06:00,13:04:00,16:39:00,20:07:00,21:32:00
2021-07-06,04:32:00,06:06:00,13:04:00,16:39:00,20:06:00,21:32:00
2021-07-07,04:33:00,06:07:00,13:05:00,16:39:00,20:06:00,21:31:00
2021-07-08,04:33:00,06:07:00,13:05:00,16:39:00,20:06:00,21:31:00
2021-07-09,04:34:00,06:08:00,13:05:00,16:40:00,20:06:00,21:31:00
2021-07-10,04:34:00,06:08:00,13:05:00,16:40:00,20:06:00,21:31:00
2021-07-11,04:37:00,06:10:00,13:05:00,16:39:00,20:05:00,21:29:00
2021-07-12,04:38:00,06:10:00,13:05:00,16:39:00,20:04:00,21:29:00
2021-07-13,04:38:00,06:10:00,13:05:00,16:39:00,20:04:00,21:28:00
2021-07-14,04:39:00,06:11:00,13:06:00,16:40:00,20:04:00,21:28:00
2021-07-15,04:40:00,06:11:00,13:06:00,16:40:00,20:04:00,21:27:00
2021-07-16,04:40:00,06:12:00,13:06:00,16:40:00,20:03:00,21:27:00
2021-07-17,04:41:00,06:12:00,13:06:00,16:40:00,20:03:00,21:26:00
2021-07-18,04:42:00,06:13:00,13:06:00,16:40:00,20:03:00,21:26:00
2021-07-19,04:43:00,06:13:00,13:06:00,16:41:00,20:02:00,21:25:00
2021-07-20,04:43:00,06:14:00,13:06:00,16:41:00,20:02:00,21:25:00
2021-07-21,04:44:00,06:15:00,13:06:00,16:41:00,20:01:00,21:24:00
2021-07-22,04:45:00,06:15:00,13:06:00,16:41:00,20:01:00,21:23:00
2021-07-23,04:46:00,06:16:00,13:06:00,16:41:00,20:00:00,21:23:00
2021-07-24,04:46:00,06:16:00,13:06:00,16:41:00,20:00:00,21:22:00
2021-07-25,04:47:00,06:17:00,13:06:00,16:41:00,19:59:00,21:21:00
2021-07-26,04:47:00,06:17:00,13:06:00,16:42:00,19:59:00,21:20:00
2021-07-27,04:48:00,06:18:00,13:06:00,16:42:00,19:58:00,21:20:00
2021-07-28,04:48:00,06:18:00,13:06:00,16:43:00,19:58:00,21:19:00
2021-07-29,04:49:00,06:19:00,13:06:00,16:43:00,19:57:00,21:18:00
2021-07-30,04:50:00,06:19:00,13:06:00,16:43:00,19:56:00,21:17:00
2021-07-31,04:51:00,06:20:00,13:06:00,16:43:00,19:56:00,21:16:00
2021-08-01,04:52:00,06:20:00,13:06:00,16:43:00,19:55:00,21:15:00
2021-08-02,04:52:00,06:21:00,13:06:00,16:43:00,19:54:00,21:15:00
2021-08-03,04:53:00,06:22:00,13:06:00,16:43:00,19:54:00,21:14:00
2021-08-04,04:54:00,06:22:00,13:06:00,16:43:00,19:53:00,21:13:00
2021-08-05,04:55:00,06:23:00,13:06:00,16:43:00,19:52:00,21:12:00
2021-08-06,04:55:00,06:23:00,13:05:00,16:43:00,19:51:00,21:11:00
2021-08-07,04:56:00,06:24:00,13:05:00,16:42:00,19:51:00,21:10:00
2021-08-08,04:57:00,06:24:00,13:05:00,16:42:00,19:50:00,21:09:00
2021-08-09,04:58:00,06:25:00,13:05:00,16:42:00,19:49:00,21:08:00
